filename,name,xmin,xmax,ymin,ymax
levle0_0.jpg,fore1,223,251,290,306
levle0_0.jpg,fore1,217,239,250,276
levle0_0.jpg,fore2,186,209,514,536
levle0_1.jpg,fore2,394,493,933,1064
levle0_1.jpg,fore,654,754,2160,2274
levle0_1.jpg,fore,930,1099,3079,3179
levle0_10.jpg,fore,357,373,92,119
levle0_10.jpg,fore,394,424,114,139
levle0_10.jpg,fore,314,336,174,194
levle0_10.jpg,fore,316,342,246,276
levle0_10.jpg,fore,265,291,303,334
levle0_10.jpg,fore,170,196,315,342
levle0_10.jpg,fore,203,224,317,337
levle0_10.jpg,fore,90,110,219,240
levle0_10.jpg,fore,63,84,163,191
levle0_10.jpg,fore,87,100,164,191
levle0_10.jpg,fore,106,118,172,190
levle0_10.jpg,fore,106,126,79,106
levle0_10.jpg,fore,377,400,85,100
levle0_10.jpg,fore,246,269,151,173
levle0_10.jpg,fore,343,367,298,316
levle0_10.jpg,fore,160,185,240,255
levle0_10.jpg,fore,161,188,113,136
levle0_10.jpg,fore,219,242,253,276
levle0_10.jpg,fore,151,180,157,183
levle0_10.jpg,fore,381,406,193,223
levle0_100.jpg,fore,2570,2677,2075,2206
levle0_100.jpg,fore,2455,2593,2451,2627
levle0_101.jpg,fore,1175,1413,1002,1186
levle0_102.jpg,fore,1643,1811,2267,2397
levle0_102.jpg,fore,1995,2148,2144,2274
levle0_102.jpg,fore,2240,2394,1677,1861
levle0_103.jpg,fore,1604,1696,2826,2911
levle0_103.jpg,fore,1712,1880,244,374
levle0_104.jpg,fore,2302,2463,3163,3286
levle0_105.jpg,fore,1244,1382,2773,3002
levle0_106.jpg,fore,1980,2141,1945,2098
levle0_107.jpg,fore,1520,1696,2535,2688
levle0_108.jpg,fore,1329,1436,849,1002
levle0_109.jpg,fore,2041,2225,2405,2596
levle0_11.jpg,fore,227,252,394,417
levle0_11.jpg,fore,81,109,442,464
levle0_11.jpg,fore,106,135,393,418
levle0_110.jpg,fore,2309,2432,2236,2374
levle0_110.jpg,fore,1229,1344,3002,3156
levle0_111.jpg,fore,2532,2654,1746,1907
levle0_111.jpg,fore,2447,2570,1937,2137
levle0_111.jpg,fore,2003,2179,2520,2673
levle0_112.jpg,fore,2424,2547,1968,2152
levle0_113.jpg,fore,2263,2394,750,895
levle0_114.jpg,fore,930,1076,2558,2750
levle0_114.jpg,fore,424,555,2098,2305
levle0_114.jpg,fore,647,761,2282,2428
levle0_115.jpg,fore,961,1083,2091,2267
levle0_116.jpg,fore,1589,1658,2911,2995
levle0_116.jpg,fore,1466,1543,2351,2420
levle0_117.jpg,fore,639,738,2558,2711
levle0_117.jpg,fore,2225,2340,2366,2497
levle0_118.jpg,fore,1313,1443,2535,2681
levle0_119.jpg,fore,2700,2815,1232,1416
levle0_12.jpg,fore,219,238,499,508
levle0_120.jpg,fore,715,830,2543,2642
levle0_120.jpg,fore,447,585,2397,2504
levle0_120.jpg,fore,1306,1436,2842,2956
levle0_120.jpg,fore,1106,1244,3133,3309
levle0_121.jpg,fore,424,516,1163,1317
levle0_121.jpg,fore,424,601,2527,2635
levle0_121.jpg,fore,800,945,2389,2527
levle0_121.jpg,fore,1689,1827,3071,3248
levle0_121.jpg,fore,1535,1666,849,1002
levle0_122.jpg,fore,731,884,2351,2512
levle0_123.jpg,fore,2647,2807,1248,1386
levle0_124.jpg,fore,999,1129,2742,2872
levle0_124.jpg,fore,869,999,2895,2987
levle0_124.jpg,fore,807,991,2979,3033
levle0_125.jpg,fore,1589,1712,2389,2520
levle0_125.jpg,fore,1842,1972,2481,2573
levle0_125.jpg,fore,2003,2164,2857,2979
levle0_126.jpg,fore,1512,1704,2872,2979
levle0_126.jpg,fore,1375,1474,2941,3056
levle0_126.jpg,fore,1604,1742,3048,3179
levle0_127.jpg,fore,2693,2853,2121,2313
levle0_127.jpg,fore,1597,1765,2964,3102
levle0_128.jpg,fore,2708,2823,1723,1914
levle0_128.jpg,fore,2210,2355,1524,1631
levle0_128.jpg,fore,2417,2570,1669,1868
